rating_music_no	rating_member_id	rating_kinds	rating
1	eun04	1	앵앵거린다
1	gmlduf	1	귀호강
1	hong3	1	목소리가 사기야…
1	hoon30	1	오랜만에 제대로 된 곡인 듯
1	song	0	
1	tpwns	0	
1	user01	0	
2	eun04	0	
2	hoon30	1	너무 지루해요
2	hun96	0	
2	ji89	1	
2	lee03	0	
2	lee03	0	
2	name96	1	우울할때 듣기 좋다
2	son12	0	
2	soyoung	1	
2	you06	1	
3	kimsang	1	
3	lee03	0	
3	na97	0	
3	user01	0	
3	user05	1	짱짱
3	user05	0	
3	user06	0	
4	hoon30	1	
4	hoon30	0	
4	jung00	0	
4	na97	0	
5	dong	1	윗분 귀가 이상한거 같네요
5	kim96	0	
5	na97	1	
5	rudgns	0	
5	user03	0	
5	user6732	1	내 마음 대신 말해주는 노래
5	woo93	1	
5	yena	1	
6	eun04	1	
6	fe91	1	하루에 10번은 넘게 듣는듯
6	gmlduf	1	
6	hun96	1	
6	kim96	0	
6	song	1	지금도 듣고 있는데 너무 좋은것 같아요
6	tpwns	0	
6	user01	0	
6	user03	0	
6	user07	1	귀정화하고 갑니다.
6	user07	1	
6	woo93	1	
7	name96	1	고음 진짜 깔끔하다 bb
7	name96	0	
7	rudgns	0	
7	song	0	
7	user06	0	
7	user07	0	
8	dlsgh	1	
8	dong	0	
8	hong3	0	
8	ji89	0	
8	jung00	0	
8	kim82	1	한마디로 완벽하다
8	name96	0	
8	rudgns	0	
8	son12	0	
8	song	0	
8	user01	0	
9	eun04	1	긍정적이다
9	hun96	0	
9	hun96	0	
9	jisoo	0	
9	lee03	0	
9	tpwns	1	완벽하다
9	woo93	0	
10	dlsgh	0	
10	hoon30	1	첫눈이 오는 날 듣고 싶어지는 노래
10	kim82	0	
10	son12	1	
10	user04	0	
10	wjdtn07	1	광고로 나와도 나올때마다 다 들어줄수 있을듯
10	wjdtn07	0	
10	yena	1	자신감이 솟구친다
10	yena	0	
11	eun04	1	
11	gmlduf	0	
11	ji89	1	진짜 명곡
11	kimsang	0	
11	rudgns	1	멜론1위 가자
11	user02	0	
11	youjin	1	여기 외국인도 꽤 있네요 자랑스럽습니다.
12	gmlduf	1	
12	gmlduf	0	
12	hoon30	0	
12	kim82	1	노래 끝판왕
12	user01	0	
12	user01	0	
12	yena	1	눈물이 날거 같다
12	zoo	1	
13	fe91	0	
13	hong3	0	
13	hoon30	1	
13	ji89	0	
13	jung00	1	세상에 이런 노래가 또 있을까?
13	name96	1	이거 잘부르면 인싸임
13	tpwns	0	
13	tpwns	0	
14	hoon30	1	
14	hun96	1	목소리때문에 듣는다
14	jisoo	1	
14	kimsang	1	
14	son12	1	내가 더 잘부를거 같다
14	user08	1	이분은 노래 접으셔야 할 것 같다
15	dong	0	
15	eun04	1	
15	hwang	0	
15	hwang	0	
15	you06	0	
16	dong	0	
16	ji89	1	I love it.
16	kim96	1	슬퍼요
16	kimsang	0	
16	lee03	0	
16	song	1	사겼던사람이 그리워져요
16	wjdtn07	0	
16	woo93	0	
17	jung00	1	기분이 업되는듯
17	kim96	0	
17	lee03	0	
17	tjwns	1	
17	user07	0	
18	dlsgh	1	
18	jung00	0	
18	name96	1	댄스음악이 이렇게 좋을 수 있네요
18	tjwns	0	
18	user06	0	
19	gmlduf	0	
19	hong3	1	
19	ji89	0	
19	user07	0	
19	woo93	1	따뜻하다
19	woo93	0	
19	yena	1	최고다 진짜
19	youjin	1	헤어질때 들으면 좋은거 같아요
20	hong3	1	노래 진짜 인생곡
20	user01	0	
20	user02	1	재밌다
20	user04	1	다른 노래에비해 좀 떨어지는듯
20	user04	1	
20	woo93	0	
21	kim82	1	공부하면서 들으면 집중 안됨
21	lee03	1	목소리 너무 좋다 
21	user03	0	
21	user6732	0	
22	dlsgh	1	가사가 진짜 너무 미쳤어..
22	kim96	0	
22	lee03	1	가사는 슬픈데 노래는 신남
22	soyoung	1	
22	tjwns	0	
23	gmlduf	0	
23	kim82	1	이건 절대 못잊힐듯
23	kim82	1	
23	song	1	진짜 소름돋게 잘한다
23	user05	0	
23	user05	0	
23	user6732	1	쓰담쓰담 해주는 노래
23	wjdtn07	0	
23	woo93	1	진심 최고다
24	gmlduf	0	
24	hong3	1	
24	ji89	1	
24	jisoo	1	가뭄의 단비 같은 노래
24	user02	0	
24	woo93	0	
25	eun04	1	길가면서 흥얼거렸어요
25	kim82	0	
25	kim96	0	
25	song	1	계속 흥얼거리게 된다
25	user02	0	
25	woo93	1	
25	you06	1	
26	dlsgh	1	혼자 이어폰끼고 들어야한다
26	hong3	0	
26	jin02	1	
26	soyoung	1	길가다 중얼거리게 됨
26	user05	0	
26	user07	1	내가 왜 이제야 이 노래를 알게 됐을까..
26	user08	0	
26	youjin	0	
27	fe91	0	
27	hong3	0	
27	hoon30	0	
27	hun96	0	
27	ji89	1	실화냐
27	name96	0	
27	user6732	1	
27	wjdtn07	1	
28	fe91	0	
28	jisoo	0	
28	kim82	0	
28	kim96	1	들리면 춤출 듯
28	tjwns	0	
28	yena	0	
29	hwang	1	
29	kimsang	1	목소리 내 스탈…
29	tpwns	1	첫소절 듣자마자 반해버린건 나뿐??
29	wjdtn07	0	
30	dlsgh	0	
30	fe91	0	
30	hoon30	1	덕질하게 만든 노래
30	ji89	0	
30	jin02	1	
30	kim82	0	
30	lee03	1	
30	na97	1	
30	tjwns	1	친구가 보고싶어지는 노래
30	user02	0	
30	user07	0	
30	yena	1	
31	hun96	1	
31	ji89	1	
31	tjwns	0	
31	user05	1	반주랑 딱딱떨어져서 좋네요
32	eun04	1	
32	fe91	1	정수리까지 소름돋는 느낌
32	kim96	1	멜론 1위 가즈아!
32	soyoung	1	
32	tpwns	1	
32	user01	0	
32	user06	0	
32	user06	0	
32	user08	1	띵.곡
32	you06	1	중독성은 이 노래가 최강
32	youjin	1	가사가 별로다
33	hwang	1	비오는 날 듣기 좋다
33	song	1	표절한거같은데
33	user01	0	
33	user08	1	난 오늘만 셀수 없이 들음
33	wjdtn07	0	
33	you06	1	
33	zoo	1	
34	dlsgh	0	
34	hong3	0	
34	kim96	0	
34	kimsang	1	언제들어도 감미롭다
34	na97	0	
34	soyoung	1	불금에 달리는 노래
34	tjwns	1	
34	tjwns	0	
34	user01	0	
34	user02	0	
34	user03	0	
34	user08	1	
34	woo93	0	
34	youjin	1	
35	hong3	0	
35	hwang	0	
35	user02	0	
35	user04	1	
35	user05	0	
35	wjdtn07	1	최고에요
35	woo93	1	여행갈때 들으면 딱일듯
36	na97	0	
36	name96	0	
36	name96	0	
36	rudgns	1	
36	user03	1	
36	user03	1	
36	zoo	1	진짜 내가 너무 아끼고 너무 좋아하는 노래..
36	zoo	0	
37	jin02	0	
37	jung00	0	
37	kim96	1	노래 너무 좋은거 아니냐
37	user01	1	여전히 좋은 노래.
37	you06	1	아무말 할 필요없다
37	you06	0	
38	jin02	0	
38	user01	1	
38	user02	1	노래가 머리속에서 맴돌아요
38	user07	0	
38	user07	0	
39	ji89	1	
39	son12	0	
40	dlsgh	0	
40	eun04	1	이 노래 따라올 노래는 없을듯
40	ji89	1	겨울에 듣기 좋은 노래
40	jin02	1	
40	jin02	0	
40	kimsang	0	
40	lee03	0	
40	son12	1	잘때 매일 듣는 노래
40	son12	1	
40	song	1	미띤!
40	user05	1	맨처음 부분 나오자마자 너무 신남 ㅋㅋㅋㅋㅋㅋ
40	user07	0	
40	user07	0	
41	gmlduf	1	오래된 친구를 만난 느낌
41	son12	0	
41	user02	1	나의 삶의 원동력같은 노래
41	user06	1	
41	wjdtn07	0	
41	you06	1	
41	youjin	1	들으면서 자면 좋은 꿈을 꿀 것 같다
41	zoo	1	힘이 되어주는 노래
42	dlsgh	1	
42	dong	0	
42	dong	0	
42	hong3	0	
42	hun96	1	너무 많이 들어서 지겨워요 
42	kimsang	1	부정적이게 된다
42	user03	0	
42	user07	1	나도 부르고 싶은데 목소리가.. 흑흑
42	user07	1	
42	user07	0	
42	user6732	0	
43	fe91	1	시험망쳤는데 조금 위로가되네요
43	fe91	0	
43	tjwns	1	박자가 잘안맞는듯
43	user04	0	
43	user04	0	
43	user07	1	
43	user6732	0	
43	woo93	1	가사랑 노래 다 완전 참신하고 신선하다..
44	dong	1	진심 최고…!
44	hun96	0	
44	na97	0	
44	rudgns	0	
44	user07	1	언제든 역주행 가능한 곡
45	dong	0	
45	jisoo	1	
45	kimsang	1	
45	rudgns	1	고음부분이 맘에들어요
45	rudgns	0	
45	user01	1	감탄사밖에 안나오네요
45	user02	0	
45	woo93	0	
46	eun04	0	
46	hwang	0	
46	kimsang	0	
46	son12	0	
46	user04	1	포기하고싶어진다
46	user07	1	
46	user08	0	
47	gmlduf	0	
47	hong3	1	완전 내 이야기 노래로 만듬ㅠㅠ
47	kimsang	0	
47	song	0	
47	user06	1	
47	user6732	1	
47	you06	1	밤새 들어본노래
47	you06	0	
48	fe91	0	
48	son12	0	
48	user03	1	황홀해진다
48	user05	1	끝이 너무 마음에 들어서 몇 번씩 돌려 듣는 중
48	youjin	0	
49	dong	1	톡톡튀는 멜로디가 매력적이네요
49	jin02	1	
49	lee03	1	
49	name96	0	
49	name96	0	
49	user02	1	
49	user6732	1	해어진 사람에게 추천하는 노래
49	zoo	0	
50	hong3	0	
50	hwang	1	노래 좋아요.
50	hwang	0	
50	lee03	0	
50	tjwns	1	이 노래 들으면서 힐링중
50	user02	1	
50	woo93	0	
50	zoo	0	
51	dong	1	하루에 1번씩은 꼭 듣는 것 같아요 최고에요!
51	hoon30	1	
51	hun96	1	
51	rudgns	0	
51	tjwns	0	
52	jin02	1	공부하다 들으러 왔는데 여기서 벗어나질 못하겠음..
52	jin02	0	
52	jin02	0	
52	son12	0	
52	tpwns	1	어릴적 추억노래
52	you06	1	
52	zoo	0	
53	dlsgh	0	
53	fe91	0	
53	jung00	0	
53	kim96	1	나 혼자만아는 노래
53	tjwns	0	
53	user02	1	
53	user07	0	
53	user08	0	
53	wjdtn07	1	여기 중2병 널렸네
54	fe91	1	나의 연애세포를 살려준 노래
54	kim96	0	
54	user02	0	
55	gmlduf	0	
55	hong3	0	
55	hun96	0	
55	rudgns	0	
55	son12	0	
55	tjwns	0	
55	tpwns	1	
55	user05	1	
55	user08	0	
55	user6732	1	위로받는 노래
55	you06	0	
55	youjin	0	
55	youjin	0	
56	hwang	1	
56	jin02	1	ㄹㅇ띵곡
56	jin02	1	목소리가 너무 좋아요
56	kim96	0	
56	lee03	1	
56	name96	1	
56	name96	0	
56	song	0	
56	soyoung	1	
56	user06	1	얼굴값하시는듯
57	hong3	0	
58	ji89	0	
58	kimsang	1	반주랑 잘안맞는듯
58	son12	1	제일 좋아하는 곡중 하나
58	wjdtn07	0	
58	yena	1	노래방에서 부르기 딱 좋다
58	youjin	0	
59	hoon30	0	
59	hwang	0	
59	kim96	0	
59	tpwns	1	
59	user6732	0	
59	woo93	0	
60	dlsgh	0	
60	dong	0	
60	hwang	1	처음 전주만 듣고 딱 내 인생곡이라고 생각함
60	jin02	1	난 이곡이 제일맘에듬
60	jung00	1	10초 듣고 홀려버림
60	jung00	1	그리워요
60	rudgns	1	매번 가사를 잊어버림
60	tjwns	1	
60	user03	1	
60	user03	0	
60	user04	1	옛날 생각나서 너무 슬프다
60	user6732	1	
60	you06	0	
60	youjin	0	
60	youjin	0	
60	youjin	0	
61	hong3	1	
61	kim82	0	
61	kim82	0	
61	user02	0	
61	user08	0	
61	you06	0	
62	fe91	1	
62	ji89	1	듣다가 반해버림
62	kim96	1	Good job :)
62	user04	0	
62	user05	0	
62	user07	0	
62	wjdtn07	1	목소리에 반해버림
62	you06	0	
62	youjin	1	음색이 맑은 호수같아요!
63	dlsgh	0	
63	eun04	0	
63	hwang	1	해가 질 때마다 듣는 노래임
63	jisoo	1	시원한 느낌이다
63	jung00	0	
63	kim82	1	
63	user05	1	
63	user05	0	
63	wjdtn07	0	
63	yena	0	
64	dong	0	
64	gmlduf	1	목소리 실화냐
64	hong3	1	
64	kim82	1	내 얘기인줄
64	soyoung	0	
64	user06	0	
64	user08	1	얼굴도 이쁘고 노래도 잘하고…
64	user6732	1	
64	wjdtn07	1	
65	dong	0	
65	hoon30	1	
65	rudgns	1	개인적으로 가장 좋아하는 노래
65	song	1	
65	yena	1	
66	dlsgh	1	
66	fe91	0	
66	hwang	1	
66	jisoo	1	아무리 힘들어도 이 노래 하나면 충분할듯
66	user01	0	
66	yena	0	
66	you06	1	Nice song!
67	lee03	0	
67	song	1	
67	tpwns	0	
67	tpwns	0	
67	user04	1	이노래는 이사람말곤 못부른다. 커버가 불가능한 곡.
67	woo93	1	노래가 너무좋아서 공부에 집중이 안되요
67	yena	1	
68	dlsgh	1	하루하루 살아가게 만드는 노래
68	hwang	0	
68	ji89	1	
68	kim82	1	출근하는 길에 들어봤는데 너무 좋아서 지금도 듣는중
68	wjdtn07	0	
68	woo93	0	
69	dlsgh	0	
69	user01	0	
70	dlsgh	0	
70	eun04	1	
70	youjin	1	좋아하는노래 1등
70	youjin	0	
71	dong	1	갑자기 팥빙수 먹고 싶어지는 노래
71	eun04	0	
71	kim96	0	
71	kim96	0	
71	name96	1	벅차오른다
71	name96	1	이런 노래는 지금 들어도 질리지가 않네
71	name96	1	직접 만나뵙고 싶네요
71	son12	0	
71	soyoung	0	
71	user08	0	
71	zoo	0	
72	hun96	1	곡이 정말 좋아요! 특히 가사가..
72	kim82	0	
72	soyoung	0	
72	user06	0	
72	user07	1	
72	zoo	1	
73	jin02	0	
73	kim82	0	
73	kim82	0	
73	kimsang	1	사랑을 하고싶어지는 노래
73	lee03	1	가사 너무 맘에 들어..
73	son12	0	
73	user04	0	
73	user06	0	
73	yena	1	이노래 안질리고 너무 좋아요 잘 듣고 있어요!!
73	yena	0	
73	youjin	1	말이 필요없다
74	na97	0	
74	rudgns	0	
74	song	1	
74	wjdtn07	1	정말 공감되는 노래네요
74	yena	1	
74	you06	1	
74	you06	0	
74	you06	0	
75	dong	1	노래 정말 좋음 특히 도입부 멜로디가 너무 좋다
75	na97	0	
75	soyoung	1	
75	user04	1	무한반복해도 질리지 않는 노래입니다..
75	user08	0	
75	woo93	1	이별 해본적도 없는데 공감됨
75	you06	1	
75	zoo	0	
76	gmlduf	0	
76	ji89	1	이거 이어폰으로 들으면서 가면 너무 참기 힘듬… 춤추고 싶어짐 ㅋㅋㅋ
76	jisoo	1	
76	kimsang	1	
76	na97	1	
76	name96	1	
76	name96	0	
76	name96	0	
76	son12	0	
76	user04	0	
76	user08	0	
76	user6732	1	봄에 꼭 들리는 노래
76	zoo	1	
77	fe91	1	
77	fe91	0	
77	hong3	0	
77	hoon30	1	길거리에서 이노래 나오면 너무 신나
77	hoon30	0	
77	jung00	0	
77	kimsang	1	
77	rudgns	1	노래가 너무 신나요 ㅋㅋㅋ
77	user02	1	듣기 좋다
77	user05	0	
77	wjdtn07	1	이 곡 작사한분 좀 지리는듯
78	hoon30	0	
78	hun96	0	
78	ji89	0	
78	tjwns	0	
78	user08	1	노래는 좋은데 가사가 별로다
78	woo93	1	
78	yena	1	이노래 우리 부모님께 들려드렸더니 나쁘지 않다네요
79	eun04	1	
79	hong3	0	
79	ji89	0	
79	ji89	0	
79	kim96	1	
79	song	1	Wow amazing!:)
79	yena	1	뭐든 할 수 있을거 같다
80	fe91	0	
80	hwang	1	소재가 신선했다
80	jisoo	1	이런 음악이 필요했다
80	rudgns	0	
80	tpwns	1	어떻게 저렇게 잘부르지…?
80	tpwns	0	
80	user03	1	가사가 좋아요ㅎ
80	user04	0	
80	user6732	1	흥이 솟구친다
80	wjdtn07	1	
81	dlsgh	0	
81	hoon30	0	
81	na97	1	재미난 가사가 좋다
81	rudgns	1	
81	tjwns	1	보통 노래 다운받고 잘 안듣는데 이건 계속 들어도 안질림 진짜 명곡인듯
81	user05	1	매일 자기 직전에 꼭 한번씩 듣는 노래.
81	woo93	0	
81	woo93	0	
82	dong	0	
82	jisoo	1	
82	jisoo	1	
82	jung00	0	
82	rudgns	1	
82	woo93	0	
82	yena	1	
83	fe91	1	다신 안들을 것 같아요
83	fe91	0	
83	hoon30	1	내 최애곡1위
83	hun96	0	
83	jin02	1	마음이 아프다
83	kim82	1	
83	soyoung	0	
83	tpwns	0	
83	user02	0	
83	yena	0	
84	hoon30	1	진짜 어떻게 이런곡을 쓰지??
84	ji89	0	
84	user04	1	
84	user07	0	
84	youjin	1	들으면 들을수록 좋은 노래
84	youjin	0	
85	hwang	0	
85	jisoo	1	진짜 최고다
85	user03	1	길가다가 어디선가 들어봐서 찾아봤는데 이 노래였구나 ㅋㅋㅋ
86	hoon30	0	
86	jin02	0	
86	kim82	0	
86	kim96	0	
86	user08	0	
87	eun04	0	
87	fe91	1	발음, 박자, 목소리 모든게 완벽한 노래
87	hong3	0	
87	hwang	1	안고싶다
87	kim82	1	
87	kimsang	0	
87	son12	0	
87	user04	1	힐링된다..
87	user05	0	
88	hoon30	0	
88	jisoo	1	
88	jisoo	0	
88	kim82	1	앞으로도 좋은곡 많이 내주시길...!
88	lee03	1	인생곡
88	son12	1	들으면 들을수로 중독되
88	user04	1	굿굿
89	hoon30	1	
89	jung00	0	
89	lee03	1	이 곡은 더 알려져야 한다.. 노래 들으면서 울컥해본건 이노래가 처음이다
89	name96	1	처진다..
89	son12	1	울컥한다
89	yena	1	하.. 요즘 생활이 힘든 중3입니다. 요즘 힘들어서 다 포기하고 싶었는데 이 노래 들으니 다시 힘이 나는것 같네요. 다들 힘냅시다!
89	youjin	1	
90	dlsgh	0	
90	fe91	1	진짜 이 노래는 한 번도 안 들은 사람은 있어도 한 번만 들은 사람은 없을 듯
90	ji89	1	
90	jisoo	0	
90	jung00	0	
90	soyoung	1	이 노래 찾고있었는데 너무좋은듯
91	dlsgh	0	
91	jisoo	1	
91	user6732	1	
92	song	1	
92	song	0	
92	user03	1	친구들한테 추천해주고 싶다
92	user05	0	
92	user6732	1	
93	fe91	1	
93	hwang	0	
93	hwang	0	
93	jin02	1	혼란스럽다
93	jin02	0	
93	kimsang	0	
93	son12	1	가사가 너무 와닿아요
93	son12	0	
93	song	0	
93	tjwns	1	반주에서 부터 치였다
93	user01	0	
93	user02	0	
93	zoo	0	
94	gmlduf	1	이거 들으면서 월요병 치유하자
94	hun96	1	
94	jin02	1	이렇게 안질리기도 힘들겠다 ㅋㅋ
94	jisoo	0	
94	jung00	1	
94	kim82	0	
94	tjwns	1	한번듣고 빠짐
94	user01	1	내가 제일 좋아하는 가수!
94	user03	0	
94	woo93	1	용기가난다
94	zoo	0	
95	hwang	1	감성 폭발하는 노래
95	kim82	0	
95	kim96	0	
95	name96	0	
95	rudgns	0	
95	soyoung	1	녹아버릴거 같다
95	yena	0	
95	yena	0	
